Sampling Method,Transformation Method,Scaling Method,Dim Reduction Method,Model Name,Accuracy Train,Accuracy Test,F1 Train,F-beta Train,F1 Test,F-beta Test,ROC AUC Train,ROC AUC Test
none,none,standard,pca_95%,ada,0.9107142857142856,0.8401360544217688,0.6666666666666666,0.56,0.3733333333333333,0.3025768911055694,0.9444112309170491,0.786114221724524
none,none,standard,pca_95%,catboost,0.988095238095238,0.8435374149659864,0.9617486338797814,0.928948436865611,0.2333333333333333,0.1531986531986532,0.9999786484466744,0.7961926091825308
none,none,standard,lda_1,logreg,0.8971088435374149,0.8639455782312925,0.6032786885245902,0.4916752312435766,0.4594594594594595,0.367720465890183,0.8677217892601685,0.8080799379791542
none,none,standard,lda_1,rf,1.0,0.8061224489795918,1.0,1.0,0.3870967741935484,0.3832923832923833,1.0,0.6751658196227066
none,none,standard,lda_1,svc,0.8971088435374149,0.8639455782312925,0.6032786885245902,0.4916752312435766,0.4594594594594595,0.367720465890183,0.7479395751040889,0.5938495994487036
none,none,standard,lda_1,knn_5,0.9081632653061223,0.8605442176870748,0.6625,0.5647540983606557,0.4533333333333333,0.3674147963424771,0.9360574356784456,0.689938840554742
none,none,standard,lda_1,xgboost,0.9081632653061223,0.8605442176870748,0.6666666666666666,0.5749385749385749,0.4810126582278481,0.4092792046396023,0.9380804953560372,0.7713842708243605
none,none,standard,lda_1,gradboost,0.9251700680272108,0.8537414965986394,0.7300613496932515,0.6332378223495702,0.4266666666666667,0.3458021612635079,0.9606197288352728,0.7650099061073306
none,none,standard,lda_1,histgradboost,0.9039115646258504,0.8639455782312925,0.6412698412698413,0.5386666666666666,0.4736842105263157,0.388704318936877,0.937560051243728,0.746834352657421
none,none,standard,lda_1,ada,0.91156462585034,0.8639455782312925,0.6687898089171974,0.5601148953631514,0.4736842105263157,0.388704318936877,0.8998879043450411,0.7886553536049616
none,none,standard,lda_1,catboost,0.9039115646258504,0.8639455782312925,0.64576802507837,0.5488829678212749,0.4736842105263157,0.388704318936877,0.9098537418597205,0.7779309156688776
none,none,standard,svd_32,logreg,0.8988095238095238,0.8707482993197279,0.6046511627906976,0.4867311252828636,0.4864864864864865,0.389351081530782,0.8697875520444112,0.824446550090447
none,none,standard,svd_32,rf,1.0,0.8367346938775511,1.0,1.0,0.1428571428571428,0.0878378378378378,1.0,0.7912395555172711
none,none,standard,svd_32,svc,0.9285714285714286,0.8673469387755102,0.7181208053691275,0.5726636475916015,0.3809523809523809,0.2619647355163728,0.959351980356571,0.8244034800585752
none,none,standard,svd_32,knn_5,0.8707482993197279,0.8401360544217688,0.3870967741935484,0.259567387687188,0.2295081967213114,0.1530698065601345,0.8978648446674495,0.669911275734344
none,none,standard,svd_32,xgboost,1.0,0.8401360544217688,1.0,1.0,0.2985074626865671,0.2175732217573222,1.0,0.7745714531828753
none,none,standard,svd_32,gradboost,0.9651360544217688,0.8401360544217688,0.8797653958944281,0.7957559681697612,0.2539682539682539,0.1746431570109152,0.9896551724137932,0.7849082608321131
none,none,standard,svd_32,histgradboost,1.0,0.8435374149659864,1.0,1.0,0.303030303030303,0.2177554438860971,1.0,0.7757774140752864
none,none,standard,svd_32,ada,0.9056122448979592,0.8367346938775511,0.6430868167202572,0.5337712995278177,0.3142857142857143,0.2387312186978297,0.9494929006085192,0.7651821862348178
none,none,standard,svd_32,catboost,0.9906462585034014,0.8367346938775511,0.9701897018970188,0.9442077500507202,0.1724137931034483,0.1096121416526138,1.0,0.8048066155568955
none,none,minmax,none,logreg,0.8971088435374149,0.8775510204081632,0.578397212543554,0.4452238498040025,0.5,0.39,0.8684851072915555,0.8278921526401929
none,none,minmax,none,rf,1.0,0.8401360544217688,1.0,1.0,0.1454545454545454,0.0879120879120879,1.0,0.758075630975967
none,none,minmax,none,svc,0.9039115646258504,0.8605442176870748,0.5767790262172284,0.4147503625440232,0.3050847457627119,0.1971356360572873,0.9523326572008114,0.8311654750624516
none,none,minmax,none,knn_5,0.8647959183673469,0.8469387755102041,0.345679012345679,0.2273579013116802,0.1509433962264151,0.0880609652836579,0.8934771004590584,0.6638384012404168
none,none,minmax,none,xgboost,1.0,0.8741496598639455,1.0,1.0,0.4477611940298507,0.3263598326359833,1.0,0.7612197433026102
