Sampling Method,Transformation Method,Scaling Method,Dim Reduction Method,Model Name,Accuracy Train,Accuracy Test,F1 Train,F-beta Train,F1 Test,F-beta Test,ROC AUC Train,ROC AUC Test
none,log,standard,none,dt,1.0,0.734128510965756,1.0,1.0,0.6401666377365042,0.6435695397130085,1.0,0.7151971898297522
none,log,standard,none,knn_5,0.8183041722745625,0.716301141464666,0.7470252037852525,0.7351983600627034,0.6097388849682427,0.603838503306274,0.8989096608732594,0.7721873241095484
none,log,standard,none,xgboost,0.8934387617765814,0.7659356162626652,0.8543841096142352,0.855509712606024,0.6840920893197161,0.6894904244896863,0.9604361860384674,0.8436658415505199
none,log,standard,none,gradboost,0.767092866756393,0.7493907913299988,0.6830586080586081,0.686598974707565,0.663799036476256,0.6727745881847937,0.8486956248996425,0.8288820190553416
none,log,standard,pca_21,logreg,0.7402422611036339,0.733102475311017,0.629487425609522,0.605815556471441,0.6256520957006655,0.6085739282589675,0.821525493778309,0.8129929179496879
none,log,standard,pca_21,rf,1.0,0.7853020392458638,1.0,1.0,0.6887318705838601,0.6497018107240198,1.0,0.8750790976175726
none,log,standard,pca_21,dt,1.0,0.722842118763627,1.0,1.0,0.625411683133992,0.6295416415005705,1.0,0.7033487560121268
none,log,standard,pca_21,knn_5,0.818371467025572,0.7157881236372964,0.7471662763466042,0.735464559556826,0.6090331686661963,0.6031396161496694,0.8989360168024468,0.7724837897661061
none,log,standard,pca_21,xgboost,0.9200538358008076,0.767602924201616,0.8901525658807211,0.8868221338832082,0.6798586572438163,0.6724017420291413,0.9752080520595906,0.842118324090296
none,log,standard,pca_21,gradboost,0.7639973082099596,0.7383609080415544,0.6614538082826528,0.6332402055919298,0.6263736263736264,0.5992236778262978,0.8457844909457496,0.8169805703692044
none,log,minmax,none,logreg,0.7392664872139973,0.7336154931383866,0.6271113035946297,0.6020533267945288,0.6250225672504062,0.6059373948165602,0.8214434574088747,0.8127456096044539
none,log,minmax,none,rf,1.0,0.7944081056816724,1.0,1.0,0.7173338035619821,0.7107395809534048,1.0,0.8786624497314292
none,log,minmax,none,dt,1.0,0.734128510965756,1.0,1.0,0.6401666377365042,0.6435695397130085,1.0,0.7151971898297522
none,log,minmax,none,knn_5,0.8187752355316286,0.7229703732204694,0.747870049620822,0.7365397300498621,0.6175637393767706,0.6095934609593461,0.8995230343375231,0.7794748866656775
none,log,minmax,none,xgboost,0.8934387617765814,0.7659356162626652,0.8543841096142352,0.855509712606024,0.6840920893197161,0.6894904244896863,0.9604361860384674,0.8436658415505199
none,log,minmax,none,gradboost,0.767092866756393,0.7493907913299988,0.6830586080586081,0.686598974707565,0.663799036476256,0.6727745881847937,0.8486956248996425,0.8288878230863402
none,log,minmax,pca_21,logreg,0.7386944818304172,0.7338720020520713,0.6262752646775746,0.6012238979942855,0.625653977990258,0.606954859381521,0.8212956630449431,0.8124623445793748
none,log,minmax,pca_21,rf,1.0,0.7870976016416571,1.0,1.0,0.6989481320275662,0.6747744107744108,1.0,0.8758426108173547
none,log,minmax,pca_21,dt,1.0,0.7345132743362832,1.0,1.0,0.6432264736297828,0.6508894791918217,1.0,0.7171121661549682
none,log,minmax,pca_21,knn_5,0.8190780619111709,0.7223291009362576,0.748326702550901,0.7370851227564978,0.6163388268651425,0.6078866346683875,0.8995498174886082,0.7796059728292075
none,log,minmax,pca_21,xgboost,0.9181695827725438,0.7711940489932025,0.8877089297257365,0.8854446388969582,0.6873466526463371,0.6849090567152952,0.9734815360725738,0.8460717185707476
none,log,minmax,pca_21,gradboost,0.7691453566621803,0.7410542516352443,0.6754954358416497,0.6589532188856434,0.6395286555972147,0.6264175309738085,0.8478304785853462,0.8193068543057982
none,log,robust,none,logreg,0.7408815612382235,0.7334872386815442,0.6301685636075495,0.6061206868984043,0.6254506128334536,0.6072640137849337,0.8218373071732135,0.8135483354039097
none,log,robust,none,rf,1.0,0.7944081056816724,1.0,1.0,0.7173338035619821,0.7107395809534048,1.0,0.8786663072886172
none,log,robust,none,dt,1.0,0.734128510965756,1.0,1.0,0.6401666377365042,0.6435695397130085,1.0,0.7151971898297522
none,log,robust,none,knn_5,0.8188761776581427,0.7148903424393998,0.7469324432325701,0.7327191392295495,0.6006825938566552,0.5850638601402366,0.9003459491569128,0.7744495159721271
none,log,robust,none,xgboost,0.8934387617765814,0.7659356162626652,0.8543841096142352,0.855509712606024,0.6840920893197161,0.6894904244896863,0.9604361860384674,0.8436658415505199
none,log,robust,none,gradboost,0.767092866756393,0.7493907913299988,0.6830586080586081,0.686598974707565,0.663799036476256,0.6727745881847937,0.8486956248996425,0.828901342231715
none,log,robust,pca_21,logreg,0.7409488559892329,0.7348980377068103,0.6301225078068701,0.605860761607641,0.6264232785107537,0.6066865044635043,0.8217075537797056,0.8139779044786734
none,log,robust,pca_21,rf,1.0,0.7910734898037707,1.0,1.0,0.7046237533998188,0.6803679411725094,1.0,0.8789829101015055
none,log,robust,pca_21,dt,1.0,0.7347697832499679,1.0,1.0,0.6438167413021012,0.6519009417509593,1.0,0.7175345509718496
none,log,robust,pca_21,knn_5,0.8189434724091521,0.7143773246120303,0.7472166110771832,0.7335076249631965,0.5999640740075445,0.5843640229869588,0.900420134408501,0.7744278216367482
none,log,robust,pca_21,xgboost,0.9225773889636608,0.7697832499679363,0.8938016338210182,0.891863838771729,0.6829182123299771,0.6755379921233383,0.9758693964397983,0.8450344249819084
none,log,robust,pca_21,gradboost,0.7666554508748318,0.7400282159805053,0.672892788076034,0.6580795338819163,0.6395162724524275,0.6286797832138677,0.8476556398546549,0.8183603017869621
none,yeo_johnson,standard,none,logreg,0.7432705248990579,0.7372066179299731,0.6372884578817266,0.6187706815502818,0.6339110237627301,0.6205050246862094,0.8233150359809456,0.815625399911892
none,yeo_johnson,standard,none,rf,1.0,0.7923560343721945,1.0,1.0,0.7132990968655923,0.7039780595028434,1.0,0.8790253078401418
none,yeo_johnson,standard,none,dt,1.0,0.73271771194049,1.0,1.0,0.6381944444444445,0.6414841065292096,1.0,0.7136429127968409
none,yeo_johnson,standard,none,knn_5,0.8172947510094213,0.716301141464666,0.745357343837929,0.732858054905299,0.607940446650124,0.5995052300411411,0.8991643705686805,0.7734850912846671
none,yeo_johnson,standard,none,xgboost,0.8978465679676986,0.7605489290752854,0.8601437258153677,0.859778127258044,0.6747953318237241,0.6762087624367255,0.9619143762458493,0.8413948020797117
none,yeo_johnson,standard,none,gradboost,0.767092866756393,0.7493907913299988,0.6830586080586081,0.686598974707565,0.663799036476256,0.6727745881847937,0.8486956248996425,0.8288634744684923
none,yeo_johnson,standard,pca_21,logreg,0.7406123822341857,0.7333589842247018,0.6305295950155764,0.6076005130008775,0.6257425742574257,0.6082567201949092,0.8207773867338443,0.8121218178338336
